...1,No_Die,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Lot_Num,Wafer_Num,Datetime
0,NOLSM325131325,1,Implantation,1.500198e+16,1.316363e+17,6.468338e+17,3.011187e+17,6.000012e+17,30795.934,103.433,854,154,13,28,01-03-2021
1,NOLSM326132326,2,Implantation,1.105654e+16,4.367509e+16,1.041399e+18,3.026639e+17,6.000008e+17,32135.618,105.552,895,156,13,29,01-03-2021
2,NOLSM327133327,3,Implantation,1.044283e+16,1.507393e+16,6.473188e+17,2.983347e+17,5.999989e+17,31057.895,102.598,898,152,13,30,01-03-2021
3,NOLSM328134328,1,Implantation,8.885135e+15,1.022922e+17,3.408444e+17,2.999225e+17,5.999997e+17,32140.566,102.963,879,155,13,31,01-03-2021
4,NOLSM329135329,2,Implantation,1.665762e+16,7.883038e+16,7.255226e+17,3.018136e+17,6.000004e+17,31986.009,101.419,882,155,13,32,01-03-2021
5,NOLSM330136330,3,Implantation,1.132187e+16,8.124183e+16,3.266156e+17,2.99357e+17,5.999966e+17,31982.632,103.847,871,152,13,33,01-03-2021
6,NOLSM331137331,1,Implantation,1.13077e+16,1.162764e+17,9.131414e+17,2.989981e+17,5.99999e+17,32499.229,102.84,916,157,13,34,01-03-2021
7,NOLSM332138332,2,Implantation,1.12157e+16,7.201297e+16,5.016916e+17,3.001836e+17,5.999995e+17,32016.39,104.368,891,153,13,35,01-03-2021
8,NOLSM333139333,3,Implantation,1.45158e+16,6.475248e+16,-8.78959e+15,3.013753e+17,6.000017e+17,31810.414,103.625,903,153,13,36,01-03-2021
9,NOLSM3341310334,1,Implantation,1.056055e+16,8.537015e+16,7.988779e+17,3.000877e+17,6.000019e+17,31969.699,102.847,883,161,13,37,01-03-2021
10,NOLSM3351311335,2,Implantation,1.528031e+16,1.009711e+17,4.93944e+17,2.99861e+17,5.999992e+17,31419.868,103.298,862,154,13,38,01-03-2021
11,NOLSM3361312336,3,Implantation,1.062094e+16,1.62719e+17,2.201666e+17,3.025094e+17,6.000003e+17,31196.102,104.54,892,154,13,39,01-03-2021
