...1,No_Die,Ox_Chamber,process,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,Lot_Num,Wafer_Num,Datetime
0,NOLSM325131325,2,Oxidation,dry,1214.3079484,O2,26.69,0.203,120,713.132,13,28,01-03-2021
1,NOLSM326132326,2,Oxidation,dry,978.11079156,O2,30.86,0.217,137,714.295,13,29,01-03-2021
2,NOLSM327133327,2,Oxidation,dry,1176.0191487,O2,31.07,0.218,116,710.114,13,30,01-03-2021
3,NOLSM328134328,2,Oxidation,dry,933.44273286,O2,31.04,0.196,143,710.617,13,31,01-03-2021
4,NOLSM329135329,2,Oxidation,wet,1140.5987516,H2O,31.37,0.215,76,711.632,13,32,01-03-2021
5,NOLSM330136330,2,Oxidation,dry,1311.2254351,O2,41.03,0.213,114,710.084,13,33,01-03-2021
6,NOLSM331137331,2,Oxidation,dry,938.27667685,O2,30.24,0.211,116,714.56,13,34,01-03-2021
7,NOLSM332138332,2,Oxidation,dry,1033.8153333,O2,30.45,0.199,218,700.741,13,35,01-03-2021
8,NOLSM333139333,2,Oxidation,wet,1154.5654728,H2O,32.35,0.217,119,715.399,13,36,01-03-2021
9,NOLSM3341310334,2,Oxidation,wet,992.35735823,H2O,35.26,0.202,-2,687.497,13,37,01-03-2021
10,NOLSM3351311335,2,Oxidation,wet,1079.9064099,H2O,35.17,0.195,144,722.57,13,38,01-03-2021
11,NOLSM3361312336,2,Oxidation,wet,1032.7777197,H2O,38.24,0.199,58,721.595,13,39,01-03-2021
12,NOLSM3371313337,2,Oxidation,wet,1022.3766434,H2O,32.81,0.201,144,708.792,13,40,01-03-2021
13,NOLSM3381314338,2,Oxidation,dry,1132.062956,O2,38.2,0.219,119,702.557,13,41,01-03-2021
14,NOLSM3391315339,2,Oxidation,dry,1158.2314813,O2,26.67,0.198,118,702.259,13,42,01-03-2021
15,NOLSM3401316340,2,Oxidation,dry,1128.7512174,O2,36.07,0.191,98,715.371,13,43,01-03-2021
16,NOLSM3411317341,2,Oxidation,dry,937.54024867,O2,35.73,0.211,94,708.346,13,44,01-03-2021
17,NOLSM3421318342,2,Oxidation,wet,1253.34398,H2O,25.39,0.2,174,720.639,13,45,01-03-2021
18,NOLSM3431319343,2,Oxidation,dry,921.19757359,O2,36.43,0.209,70,711.451,13,46,01-03-2021
19,NOLSM3441320344,2,Oxidation,dry,1106.9708064,O2,37.56,0.208,87,705.974,13,47,01-03-2021
20,NOLSM3451321345,2,Oxidation,dry,1168.4068102,O2,32.8,0.205,113,702.475,13,48,01-03-2021
21,NOLSM3461322346,2,Oxidation,wet,1144.3263226,H2O,31.86,0.204,106,701.78,13,49,01-03-2021
22,NOLSM3471323347,2,Oxidation,dry,1121.5231598,O2,39.51,0.217,50,711.92,13,50,01-03-2021
23,NOLSM3481324348,2,Oxidation,wet,1264.8147093,H2O,32.88,0.201,112,696.968,13,51,01-03-2021
24,NOLSM3491325349,2,Oxidation,wet,980.46590227,H2O,38.11,0.194,78,706.048,13,52,01-03-2021
25,NOLSM3501326350,2,Oxidation,dry,1078.1439066,O2,39.93,0.197,80,707.196,13,53,01-03-2021
26,NOLSM3511327351,2,Oxidation,dry,1053.9626334,O2,35.63,0.218,89,715.913,13,54,01-03-2021
27,NOLSM325131,3,Oxidation,dry,1198.3230888,O2,26.69,0.203,120,705.284,13,1,01-03-2021
28,NOLSM326132,1,Oxidation,dry,959.17151563,O2,30.86,0.217,137,690.8,13,2,01-03-2021
29,NOLSM327133,1,Oxidation,dry,1175.5824928,O2,31.07,0.218,116,702.641,13,3,01-03-2021
30,NOLSM328134,1,Oxidation,dry,927.5054921,O2,31.04,0.196,143,704.124,13,4,01-03-2021
31,NOLSM329135,1,Oxidation,wet,1120.9082533,H2O,31.37,0.215,76,707.911,13,5,01-03-2021
32,NOLSM330136,1,Oxidation,dry,1310.70949,O2,41.03,0.213,114,712.218,13,6,01-03-2021
33,NOLSM331137,1,Oxidation,dry,933.36712979,O2,30.24,0.211,116,714.56,13,7,01-03-2021
34,NOLSM332138,1,Oxidation,dry,1033.4366792,O2,30.45,0.199,218,700.741,13,8,01-03-2021
35,NOLSM333139,1,Oxidation,wet,1137.0561896,H2O,32.35,0.217,119,715.399,13,9,01-03-2021
36,NOLSM3341310,1,Oxidation,wet,978.14928127,H2O,35.26,0.202,-2,687.497,13,10,01-03-2021
37,NOLSM3351311,2,Oxidation,wet,1077.3299319,H2O,35.17,0.195,144,722.57,13,11,01-03-2021
38,NOLSM3361312,2,Oxidation,wet,1013.4297308,H2O,38.24,0.199,58,721.595,13,12,01-03-2021
39,NOLSM3371313,2,Oxidation,wet,1014.4280394,H2O,32.81,0.201,144,708.792,13,13,01-03-2021
40,NOLSM3381314,2,Oxidation,dry,1124.6070131,O2,38.2,0.219,119,702.557,13,14,01-03-2021
41,NOLSM3391315,2,Oxidation,dry,1144.6811313,O2,26.67,0.198,118,702.259,13,15,01-03-2021
42,NOLSM3401316,2,Oxidation,dry,1127.5835106,O2,36.07,0.191,98,715.371,13,16,01-03-2021
43,NOLSM3411317,2,Oxidation,dry,919.16866089,O2,35.73,0.211,94,708.346,13,17,01-03-2021
44,NOLSM3421318,2,Oxidation,wet,1238.2060776,H2O,25.39,0.2,174,720.639,13,18,01-03-2021
45,NOLSM3431319,2,Oxidation,dry,913.97080944,O2,36.43,0.209,70,711.451,13,19,01-03-2021
46,NOLSM3441320,3,Oxidation,dry,1091.4144972,O2,37.56,0.208,87,705.974,13,20,01-03-2021
47,NOLSM3451321,3,Oxidation,dry,1149.0449285,O2,35.42,0.205,113,702.475,13,21,01-03-2021
48,NOLSM3461322,3,Oxidation,wet,1133.6334412,H2O,26.68,0.204,106,701.78,13,22,01-03-2021
49,NOLSM3471323,3,Oxidation,dry,1119.2075563,O2,27.56,0.217,50,711.92,13,23,01-03-2021
50,NOLSM3481324,3,Oxidation,wet,1263.6929644,H2O,31.61,0.201,112,696.968,13,24,01-03-2021
51,NOLSM3491325,3,Oxidation,wet,964.1227727,H2O,38.72,0.194,78,706.048,13,25,01-03-2021
52,NOLSM3501326,3,Oxidation,dry,1059.0033518,O2,32.91,0.197,80,707.196,13,26,01-03-2021
53,NOLSM3511327,3,Oxidation,dry,1045.9502055,O2,44.94,0.218,89,715.913,13,27,01-03-2021
54,NOLSM352141352,2,Oxidation,wet,1002.6327671,H2O,28.6,0.204,136,709.929,14,28,02-03-2021
55,NOLSM353142353,2,Oxidation,dry,1095.6030322,O2,34.58,0.206,187,711.48,14,29,02-03-2021
56,NOLSM354143354,2,Oxidation,wet,1024.2283424,H2O,34.95,0.205,86,704.277,14,30,02-03-2021
57,NOLSM355144355,2,Oxidation,dry,1135.4105433,O2,32.59,0.219,73,703.992,14,31,02-03-2021
58,NOLSM356145356,2,Oxidation,dry,1120.1416275,O2,38.02,0.201,73,722.297,14,32,02-03-2021
59,NOLSM357146357,2,Oxidation,wet,1210.0397793,H2O,33.81,0.193,160,713.608,14,33,02-03-2021
60,NOLSM358147358,2,Oxidation,dry,1057.3384994,O2,29.05,0.214,32,712.692,14,34,02-03-2021
61,NOLSM359148359,2,Oxidation,wet,1102.9590275,H2O,49.91,0.211,32,714.415,14,35,02-03-2021
62,NOLSM360149360,2,Oxidation,dry,1007.5015663,O2,32.47,0.195,32,715.404,14,36,02-03-2021
63,NOLSM3611410361,2,Oxidation,wet,1173.8904801,H2O,32.82,0.221,90,713.132,14,37,02-03-2021
64,NOLSM3621411362,2,Oxidation,wet,1065.8721907,H2O,36.66,0.186,95,714.295,14,38,02-03-2021
65,NOLSM3631412363,2,Oxidation,dry,1122.85504,O2,30.09,0.195,115,710.114,14,39,02-03-2021
66,NOLSM3641413364,2,Oxidation,wet,1106.2984333,H2O,45.75,0.211,56,710.617,14,40,02-03-2021
67,NOLSM3651414365,2,Oxidation,wet,1194.703777,H2O,21.07,0.213,107,711.632,14,41,02-03-2021
68,NOLSM3661415366,2,Oxidation,wet,1045.2302663,H2O,32.17,0.211,44,710.084,14,42,02-03-2021
69,NOLSM3671416367,2,Oxidation,dry,1135.9115697,O2,29.66,0.211,99,721.666,14,43,02-03-2021
70,NOLSM3681417368,2,Oxidation,wet,1081.3527701,H2O,41.58,0.213,214,701.383,14,44,02-03-2021
71,NOLSM3691418369,2,Oxidation,wet,1119.3909494,H2O,40.55,0.214,152,720.58,14,45,02-03-2021
72,NOLSM3701419370,2,Oxidation,dry,1059.09193,O2,32.73,0.203,104,710.123,14,46,02-03-2021
73,NOLSM3711420371,2,Oxidation,dry,1048.3419564,O2,36.93,0.227,75,707.342,14,47,02-03-2021
74,NOLSM3721421372,2,Oxidation,dry,1061.2132606,O2,36.8,0.224,118,699.524,14,48,02-03-2021
75,NOLSM3731422373,2,Oxidation,wet,1234.4455997,H2O,35.97,0.203,127,689.684,14,49,02-03-2021
76,NOLSM3741423374,2,Oxidation,wet,1141.4164066,H2O,38.57,0.214,100,699.636,14,50,02-03-2021
77,NOLSM3751424375,2,Oxidation,dry,1275.2116125,O2,23.7,0.216,156,715.142,14,51,02-03-2021
78,NOLSM3761425376,2,Oxidation,wet,1064.8186184,H2O,33.22,0.193,117,726.612,14,52,02-03-2021
79,NOLSM3771426377,2,Oxidation,wet,1096.8409448,H2O,31.04,0.194,128,710.886,14,53,02-03-2021
80,NOLSM3781427378,2,Oxidation,wet,1015.9723382,H2O,33.45,0.211,168,714.473,14,54,02-03-2021
81,NOLSM352141,1,Oxidation,wet,1002.158831,H2O,44.83,0.204,136,709.929,14,1,02-03-2021
82,NOLSM353142,1,Oxidation,dry,1087.5661521,O2,32.51,0.206,187,711.48,14,2,02-03-2021
83,NOLSM354143,1,Oxidation,wet,1005.1527749,H2O,32.99,0.205,86,704.277,14,3,02-03-2021
84,NOLSM355144,1,Oxidation,dry,1125.8471579,O2,24.63,0.219,73,703.992,14,4,02-03-2021
85,NOLSM356145,1,Oxidation,dry,1107.4907338,O2,32.07,0.201,73,722.297,14,5,02-03-2021
86,NOLSM357146,1,Oxidation,wet,1205.9239677,H2O,36.97,0.193,160,706.977,14,6,02-03-2021
87,NOLSM358147,1,Oxidation,dry,1038.6299379,O2,35.62,0.214,136,687.846,14,7,02-03-2021
