...1,No_Die,photo_soft_Chamber,process 2,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Lot_Num,Wafer_Num,Datetime
0,NOLSM325131325,1,Photo,1.46994,17.367,15.006,20.001,200.551,90.001,502.391,4017.144,4903.611,5.02,91.918,30.005,13,28,01-03-2021
1,NOLSM326132326,1,Photo,0.86579,16.09,15.059,19.993,199.835,89.999,507.183,4072.913,4979.082,4.937,90.976,30.005,13,29,01-03-2021
2,NOLSM327133327,1,Photo,0.90483,19.026,14.93,19.995,202.118,90.001,501.286,4084.939,5031.989,4.888,91.969,30.006,13,30,01-03-2021
3,NOLSM328134328,1,Photo,0.42197,18.891,14.947,20.004,194.668,90,503.396,4045.078,4969.316,4.933,91.458,30.001,13,31,01-03-2021
4,NOLSM329135329,1,Photo,1.70139,13.788,14.82,19.998,202.192,90,501.423,4010.176,5092.407,5.05,94.723,29.988,13,32,01-03-2021
5,NOLSM330136330,1,Photo,0.69888,18.771,14.997,20,197.199,90,501.079,4030.187,4946.249,4.945,91.069,30.003,13,33,01-03-2021
6,NOLSM331137331,1,Photo,0.85768,20.701,14.978,19.999,202.194,90,501.572,4126.143,5060.506,5.117,88.719,29.995,13,34,01-03-2021
7,NOLSM332138332,1,Photo,0.45409,11.253,14.919,20,202.532,90,497.102,3902.474,5113.826,5.021,92.617,30.002,13,35,01-03-2021
8,NOLSM333139333,1,Photo,1.36775,15.286,15.013,19.999,200.458,90.001,500.154,3995.181,4942.826,5.051,91.588,29.989,13,36,01-03-2021
9,NOLSM3341310334,1,Photo,0.82933,12.463,15.01,20.002,202.963,89.999,501.394,4135.365,5111.433,5.102,92.888,29.997,13,37,01-03-2021
10,NOLSM3351311335,1,Photo,1.51697,19.767,14.889,19.997,199.4,89.999,496.487,4041.284,4982.75,4.989,90.241,30.002,13,38,01-03-2021
11,NOLSM3361312336,1,Photo,0.83835,16.029,14.952,20,204.41,89.999,501.655,4052.219,5036.152,4.997,94.758,29.998,13,39,01-03-2021
12,NOLSM3371313337,1,Photo,1.22796,17.587,15.072,20,198.818,90.002,495.986,4029.315,5156.979,4.959,90.49,29.998,13,40,01-03-2021
13,NOLSM3381314338,1,Photo,1.52203,16.445,14.979,20.006,201.674,90,500.442,4088.413,5019.57,4.9,93.958,30.005,13,41,01-03-2021
14,NOLSM3391315339,1,Photo,1.52932,13.366,14.849,20,202.289,90.001,502.263,4062.197,5085.989,4.864,92.418,30.009,13,42,01-03-2021
15,NOLSM3401316340,1,Photo,1.16778,15.909,15.074,19.997,200.249,90.001,503.423,4088.406,5101.54,5.04,93.136,30.001,13,43,01-03-2021
16,NOLSM3411317341,1,Photo,1.29164,14.085,15.067,19.994,199.309,90,498.509,4043.081,5057.66,4.89,91.247,30.005,13,44,01-03-2021
17,NOLSM3421318342,1,Photo,1.20773,12.352,15.05,20.004,199.911,90,495.402,4054.055,4892.47,5.031,90.587,30.003,13,45,01-03-2021
18,NOLSM3431319343,1,Photo,1.19261,15.651,15.089,19.994,198.866,90,494.517,3988.812,5005.117,4.957,92.169,30.01,13,46,01-03-2021
19,NOLSM3441320344,1,Photo,1.24523,16.552,14.965,20.001,199.816,90,498.307,3983.693,5029.168,4.936,90.845,30.005,13,47,01-03-2021
20,NOLSM3451321345,1,Photo,1.5879,15.616,15.09,19.994,203.987,90.001,505.859,4015.481,4993.499,4.987,93.328,30.002,13,48,01-03-2021
21,NOLSM3461322346,1,Photo,1.60777,16.681,15.063,20.003,196.125,90.001,502.416,3973.891,4974.61,5.008,92.743,29.999,13,49,01-03-2021
22,NOLSM3471323347,1,Photo,1.23906,18.582,15.116,19.998,204.725,90,502.749,4082.609,5036.144,5.064,91.218,30.01,13,50,01-03-2021
23,NOLSM3481324348,1,Photo,0.70056,16.129,15.034,20.007,197.381,90,502.125,4101.095,5013.425,4.925,94.13,29.985,13,51,01-03-2021
24,NOLSM3491325349,1,Photo,0.55934,18.547,14.97,20.004,196.756,90,499.319,4074.474,4974.847,5.037,94.773,29.993,13,52,01-03-2021
